season,season_type,player_id,player_name,player_display_name,position,position_group,headshot_url,games,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2024,REG+POST,00-0038393,D.Wicks,Dontayvion Wicks,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ghsev2bmz8kvhm8dsbey",18,GB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,41,82,454,5,0,0,1024,141,27,-6.7224132196387,0,0.443359375,0.164989939637827,0.232780177313026,0.410431033575858,0,75.4,116.4
2024,REG+POST,00-0038394,W.Mallory,Will Mallory,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rxeygxqtsnqqzgmjl71g",7,IND,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,8,29,0,0,0,83,4,1,-5.9174828240939,0,0.349397590361446,0.0349344978165939,0.0349620893007582,0.0768752092354216,0,2.9,6.9
2024,REG+POST,00-0038396,E.Gray,Eric Gray,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ijjxwxv1ccyowzhpuw2k",10,NYG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,14,31,0,1,1,1,-16.0598759765853,0,10,11,82,0,0,0,-22,103,3,3.80178645587519,0,-3.72727272727273,0.0482456140350877,-0.0199456029011786,0.0584064990218066,0,9.3,19.3
2024,REG+POST,00-0038400,T.McKee,Tanner McKee,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/q0uc1cubsh0rwc4ezuul",2,PHI,30,45,323,4,0,2,17,0,0,322,138,17,14.6777132762997,0,1.00310559006211,0.159161377384544,5,-1,0,0,0,1,-3.00282555824379,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,28.82,28.82
2024,REG+POST,00-0038416,T.Bagent,Tyson Bagent,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m6ls9t5npcqavk3eoa9c",4,CHI,2,2,11,0,0,0,0,0,0,1,10,1,0.318867500929628,0,11,,6,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,-0.26,-0.26
2024,REG+POST,00-0038454,K.Mitchell,Keaton Mitchell,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ubl4gwglxlbxzku0qta9",2,BAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,15,30,0,0,0,2,-5.21328950952739,0,1,1,28,0,0,0,-5,33,1,1.14997715229401,0,-5.6,0.0625,-0.0264550264550265,0.0752314814814815,0,5.8,6.8
2024,REG+POST,00-0038465,M.Heath,Malik Heath,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xbhxvulvdrkbz5svka5f",6,GB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,10,17,97,2,0,0,109,23,5,-0.0053040535422042,0,0.889908256880734,0.0904255319148936,0.0592713431212616,0.177128238057224,0,21.7,31.7
2024,REG+POST,00-0038476,T.DeVito,Tommy DeVito,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ntolppjso4da6spe6okt",2,NYG,31,44,257,0,0,6,31,0,0,263,119,15,-8.00893249030924,0,0.977186311787072,0.0559480535296355,8,32,0,0,0,1,-2.73994594844407,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,13.48,13.48
2024,REG+POST,00-0038477,B.Ford-Wheaton,Bryce Ford-Wheaton,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/avfgonlaxpgblcdmfedn",1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,1,6,6
2024,REG+POST,00-0038489,B.VanSumeren,Ben VanSumeren,FB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uf90uiqoapeb0jrzumui",1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,-0.48021248326404,0,,0.0434782608695652,,,0,0,1
2024,REG+POST,00-0038496,X.Gipson,Xavier Gipson,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tqo7wkjetkgupevxfvnv",7,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,5,0,0,0,1,0.405187711585313,0,6,10,39,1,0,0,112,22,3,-1.71095819136826,0,0.348214285714286,0.05,0.0790960451977401,0.130367231638418,0,10.4,16.4
